Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
382,Forrester Court - Older Peoples Residential and Nursing Home,DEPARTMENT OF HEALTH (GROUP),Westminster,Social Care, Regents Park & Kensington North,ENGLAND_London,InOperation,1997-03-01,N/K,1998-12-17,2015-04-01,2015-04-01,24,ON,N/K,OFF,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Care UK,100.0%,NO,,,,,,,,,,,,,,,,MISSING,N/K,N/K
383,New District General Hospital,DEPARTMENT OF HEALTH (GROUP),Norfolk and Norwich University Hospitals NHS Found,Hospitals and Acute Health,Norwich South,ENGLAND_East,InOperation,1995-02-01,N/K,1998-01-09,2001-08-14,2001-11-01,36,ON,N/K,OFF,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,38.0,40.0,38.0,40.0,41.0,43.0,46.0,46.0,48.0,51.0,52.0,55.0,57.0,58.0,60.0,61.0,63.0,64.0,66.0,68.0,69.0,71.0,73.0,74.0,76.0,78.0,80.0,82.0,84.0,86.0,88.0,91.0,93.0,95.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3i,36.8%,NO,Innisfree,36.8%,NO,Semperian,26.3%,NO,,,,,,,,,,Octagon Healthcare Limited,3112891,"Norfolk & Norwich University Hospital, Colney Lane, Colney, Norwich NR4 7UY"
384,Berlin Embassy,FOREIGN AND COMMONWEALTH OFFICE (GROUP),FOREIGN AND COMMONWEALTH OFFICE,Offices,More than one,National/More than one region,InOperation,1995-11-01,1997-07-01,2000-06-16,2000-07-18,2000-07-18,30,ON,ON,ON,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.7,4.1,5.0,4.8,4.5,5.2,5.2,6.0,5.8,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Land Securities Trillium,100.0%,NO,,,,,,,,,,,,,,,,Arteos,HRA 112199 ,"Arteos GP Limited & Co. KG, Amtsgericht Hamburg, GERMANY"
385,FTN,FOREIGN AND COMMONWEALTH OFFICE (GROUP),FOREIGN AND COMMONWEALTH OFFICE,IT Infrastructure and communications,More than one,National/More than one region,InOperation,1996-01-01,N/K,2000-05-01,No Construction,2000-05-10,14,OFF,OFF,OFF,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,16.8,26.3,29.4,30.8,32.4,30.4,27.5,28.3,27.8,30.0,24.0,14.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Level 3 (Formerly Global Crossing),100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
386,GCHQ New Accomodation,SECURITY AND INTELLIGENCE AGENCIES (GROUP),GCHQ,Offices,Cheltenham,ENGLAND_South West,InOperation,1997-06-01,1998-09-01,2000-06-22,2004-09-01,2004-09-01,30,ON,ON,ON,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.3,17.6,36.5,51.3,52.7,54.0,55.9,57.4,58.3,58.2,59.8,61.4,64.8,66.6,68.2,69.9,71.8,73.9,75.4,77.3,79.7,82.0,83.9,86.1,88.5,91.1,93.8,97.9,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carillion Private Finance Ltd,20.0%,NO,GSL Joint Ventures Ltd,40.0%,NO,BT Holdings Ltd,20.0%,NO,Innisfree,20.0%,NO,,,,,,,Integrated Accommodation Services plc,3824397,"Birch Street, Wolverhampton WV1 4HY"
387,Newcastle Estate Development,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,More than one,ENGLAND_North East,InOperation,1994-12-22,N/K,1997-10-20,2004-10-04,1998-01-08,33,ON,N/K,OFF,218.0,0.0,0.0,0.0,0.0,0.0,2.4,8.7,11.4,21.8,21.7,24.3,27.9,32.2,36.6,38.2,39.4,34.0,35.0,35.9,36.7,37.9,39.4,40.4,41.3,42.2,43.2,44.3,45.4,46.5,47.7,45.5,36.4,33.7,18.3,18.8,15.1,11.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semperian PPP Investment Partners No.2 Limited ,100.0%,YES,,,,,,,,,,,,,,,,NEWCASTLE ESTATES PARTNERSHIP LTD,3124864,"1 Gresham Street, London, EC2V7BX"
388,Bootle PFI,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Bootle,ENGLAND_North West,InOperation,1995-07-25,N/K,1997-02-01,2000-06-01,2000-07-01,25,ON,N/K,OFF,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.7,2.8,2.9,3.0,3.1,2.8,2.8,2.9,2.8,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,International Public Partnerships Limited,100.0%,NO,,,,,,,,,,,,,,,,Bootle PFI Solutions 1998 (2) Ltd,3586441,"2 London Bridge, London, SE1 9RA"
389,Edinburgh PFI,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Edinburgh West,SCOTLAND,InOperation,1995-09-22,N/K,1997-02-01,1998-10-01,1998-11-01,15,ON,N/K,OFF,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.6,1.7,1.6,1.8,1.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London & Regional Properties Limited,100.0%,NO,,,,,,,,,,,,,,,,Haymarket SPV Ltd,SC 178807 ,"Quartermile One, 15 Lauriston Place, Edingburgh, EH3 9EP"
390,Glasgow PFI,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Glasgow Central,SCOTLAND,InOperation,1994-02-28,N/K,1997-02-01,1998-11-15,1998-12-15,15,ON,N/K,OFF,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2.0,1.7,1.7,1.7,1.8,1.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London & Regional Properties Limited,100.0%,NO,,,,,,,,,,,,,,,,Cochrane Square SPV Ltd,SC 178806 ,"Quartermile One, 15 Lauriston Place, Edingburgh, EH3 9EP"
391,Manchester PFI,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Salford,ENGLAND_North West,InOperation,N/K,N/K,1997-10-20,1998-07-01,1998-08-01,13,ON,N/K,OFF,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.8,7.7,8.2,8.2,8.2,8.2,7.8,8.6,8.5,8.5,7.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London & Regional Properties Limited,100.0%,NO,,,,,,,,,,,,,,,,London & Regional (Manchester) Ltd,3315357,"Quadrant House, Floor 6, 4 Thomas More Sq, London, E1W 1YW"
392,Stockport PFI,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Stockport,ENGLAND_North West,InOperation,1995-11-10,N/K,1998-01-01,1999-02-15,1999-03-15,13,ON,N/K,OFF,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.6,1.6,1.6,1.6,1.4,1.7,1.7,1.7,2.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London & Regional Properties Limited,100.0%,NO,,,,,,,,,,,,,,,,London & Regional (Stockport) Ltd,3278829,"Quadrant House, Floor 6, 4 Thomas More Sq, London, E1W 1YW"
393,STEPS - Mapeley PLC,HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,More than one,National/More than one region,InOperation,1999-03-01,N/K,2001-04-02,No Construction,2001-04-02,20,ON,N/K,OFF,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.4,220.1,224.3,232.2,236.1,240.8,243.3,217.5,206.6,191.9,190.5,152.8,146.1,144.9,145.4,145.3,145.2,145.0,144.9,144.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mapeley,100.0%,NO,,,,,,,,,,,,,,,,"Mapeley STEPS Contractor Limited,",4089254,"2nd Floor, Blue Fin Building, 110 Southwark Street, London SE1 0TA"
394,Exchequer Partnership (No. 2),HM REVENUE AND CUSTOMS (GROUP),HM REVENUE & CUSTOMS,Offices,Cities of London & Westminster,ENGLAND_London,InOperation,N/K,N/K,2001-03-06,No Construction,2004-11-19,34,ON,N/K,ON,204.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,21.9,22.4,23.3,20.3,20.6,21.2,22.2,22.7,22.6,23.1,23.6,24.1,24.5,25.1,25.7,26.3,26.9,27.5,28.2,28.8,29.4,30.1,30.7,31.4,32.0,32.7,33.4,34.1,34.8,35.5,36.2,36.9,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Catalyst Investment Holdings Ltd.,50.0%,NO,Barclays Integrated Infrastructure Fund,50.0%,NO,,,,,,,,,,,,,Exchequer Partnership (no.2) plc,4426513,"3rd Floor The Venus, 1 Old Park Lane, Trafford, Manchester, M41 7HG"
395,GOGGS West,HM TREASURY (GROUP),HM TREASURY,Offices,Cities of London & Westminster,ENGLAND_London,InOperation,1995-06-30,N/K,2000-05-01,2002-07-18,2002-07-19,36,ON,N/K,ON,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,16.7,17.5,18.1,18.1,18.9,20.0,20.7,21.2,21.8,22.6,23.4,24.1,24.8,25.6,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Catalyst Investment Holdings Ltd.,50.0%,YES,Barclays Private Equity,50.0%,YES,,,,,,,,,,,,,Exchequer Partnership PLC,3810527,"3RD FLOOR THE VENUS, 1 OLD PARK LANE TRAFFORD, MANCHESTER, M41 7HG"
396,Centralised Custody Suites,HOME OFFICE (GROUP),Sussex Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_South East,InOperation,1998-12-01,2000-09-01,2001-08-01,2002-10-18,2002-10-21,30,ON,ON,ON,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,6.3,7.4,9.8,10.7,9.9,11.4,11.5,12.0,11.6,11.7,10.2,10.5,10.7,10.9,11.2,11.4,11.7,12.0,12.2,12.5,12.8,13.1,13.4,13.7,14.0,14.3,14.7,15.0,15.3,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure Investments LLP,90.0%,NO,RSTM,10.0%,NO,,,,,,,,,,,,,Sussex Custodial Services,4163673,"21 St Thomas Street, Bristol, BS1 6JS"
397,Force HQ,HOME OFFICE (GROUP),Cheshire Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_North West,InOperation,1999-11-01,2001-05-01,2002-05-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,30,ON,ON,OFF,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.5,5.5,5.6,5.6,6.0,6.0,6.1,6.1,6.1,6.0,6.1,6.2,6.3,6.5,6.6,6.8,6.9,7.0,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.2,8.4,8.6,8.7,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HBG (BAM) Ltd,100.0%,NO,,,,,,,,,,,,,,,,Cheshire SPV Ltd,N/K,N/K
398,Rationalised Custody,HOME OFFICE (GROUP),Cleveland Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_North East,InOperation,2001-03-08,2004-09-01,2005-03-31,2007-01-31,2007-02-01,26,ON,N/K,OFF,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.7,4.7,4.7,4.9,5.0,5.1,5.0,5.1,5.4,5.3,5.3,5.4,5.5,5.8,5.6,5.7,5.8,6.0,6.4,6.1,6.2,6.2,6.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bank of Scotland,50.0%,NO,John Laing Investments,50.0%,NO,,,,,,,,,,,,,Cleveland FM Services Ltd,5317790,"35 Colston Avenue, Bristol, Avon, BS1 4TT"
399,Firearms Facility,HOME OFFICE (GROUP),Cleveland Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_North East,InOperation,1997-01-01,1999-08-01,2000-04-01,2001-03-31,2001-04-01,25,ON,N/A,OFF,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Laing Social Infrastructure Ltd,27.0%,NO,Infrastructure Investments Ltd Partnership,73.0%,NO,,,,,,,,,,,,,Support Services (Cleveland) Ltd,3905602,"Allington House, 150 Victoria Street, London, SW1E 5LB"
400,Workington Police Station,HOME OFFICE (GROUP),Cumbria Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_North West,InOperation,1998-01-16,N/K,2000-06-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,N/K,OFF,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.6,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Cumbria Estates Management owned by Barclays,100.0%,NO,,,,,,,,,,,,,,,,N,N/K,N/K
401,Divisional HQ,HOME OFFICE (GROUP),Derbyshire Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_East Midlands,InOperation,1996-04-19,N/K,1999-02-26,2000-12-17,2000-12-18,31,ON,N/K,OFF,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.8,2.9,2.9,2.9,3.0,3.1,3.2,3.2,3.4,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4.0,3.7,2.8,2.9,2.9,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bank of Scotland,95.0%,NO,Derby SPV,5.0%,NO,,,,,,,,,,,,,N,N/K,N/K
402,Ilkeston Police Station,HOME OFFICE (GROUP),Derbyshire Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_East Midlands,InOperation,N/K,N/K,1998-02-13,1998-09-30,1998-10-01,31,ON,N/K,OFF,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semperian,100.0%,NO,,,,,,,,,,,,,,,,N,N/K,N/K
403,Joint Emergency Services Project,HOME OFFICE (GROUP),Dorset Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_South West,InOperation,2003-07-01,2004-05-01,2007-07-10,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,ON,ON,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.5,4.6,4.8,4.9,5.0,5.1,5.2,5.4,5.5,5.7,5.8,6.0,6.2,6.3,6.5,6.7,7.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morgan Sindall,33.0%,NO,Carden Croft,33.0%,NO,Barclays,33.0%,NO,,,,,,,,,,N,N/K,N/K
404,Regional HQ & City Police Stations,HOME OFFICE (GROUP),Dorset Police Authority,Emergency Services,Police Authority covers multiple constituencies,ENGLAND_South West,InOperation,1997-09-01,1998-07-01,2000-03-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,ON,ON,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.0,3.1,3.2,3.3,3.4,3.6,3.7,3.8,4.0,4.2,4.3,4.5,4.7,4.9,5.1,5.3,5.5,5.8,6.0,6.3,6.5,6.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barclays Equity Infrastructure Fund Condor House St Pauls Churchyard London,80.0%,NO,Vinci Holdings Astral House Imperial Way Watford hertfordshire WD24 4WW       ,20.0%,NO,,,,,,,,,,,,,N,N/K,N/K
405,Ammanford Police Station,HOME OFFICE (GROUP),Dyfed Powys Police Authority,Emergency Services,Police Authority covers multiple constituencies,WALES,InOperation,1997-10-01,1998-01-01,2000-04-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,ON,OFF,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dolef Cyfrynedig,100.0%,NO,,,,,,,,,,,,,,,,N,N/K,N/K
