1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
139,06/09/2006,Carillion plc,Leeds Grouped Schools l,,31/10/2001,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Daily Telegraph 07/09/2006,,
140,22/09/2006,Skanska UK,"Kings College Hospital, London",1,06/12/1999,Infrastructure Investors,33,13.7,9.1,6.75,29.3,Skanska Press 22/09/2006,,
141,01/10/2006,Bank of Scotland,Calderdale Royal Hospital,1,31/07/1998,Catalyst Investment Holdings Ltd (JVC Bovis Lend Lease & Bank of Scotland),3.3,n/a,n/a,n/a,n/a,Partnerships UK Database,,
142,01/10/2006,Societe Generale,Calderdale Royal Hospital,1,31/07/1998,Infrastructure Investors (Barclays Infrastructure),16.7,n/a,n/a,n/a,n/a,Partnerships UK Database,,
143,09/11/2006,Babcock & Brown,Abingdon Police Station,19,18/12/1998,Babcock & Brown Public Partnerships (Guernsey),100,187 (includes 3 assets in Australia),n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Bootle Government Offices,,16/12/1998,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Derbyshire Magistrates Court,,31/08/2001,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Derbyshire Schools Phase 1,,31/03/2001,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Derbyshire Schools Phase 2,,31/03/2001,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Calderdale Schools,,02/07/2003,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Hereford & Worcester Magistrates Court,,28/02/2000,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Norfolk Police HQ,,22/03/2000,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Northamptonshire Schools,,22/12/2005,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Strathclyde Police Training Centre,,17/12/1999,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,North Wales Police HQ,,18/09/2002,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"St Thomas More School, Willenhall, West Midlands",,28/03/2002,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Tower Hamlets Schools,,28/06/2002,Babcock & Brown Public Partnerships (Guernsey),100,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,Beckenham Hospital (NHS LIFT),,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"Garland Road Health Centre, Greenwich (NHS LIFT)",,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"Alexandra Avenue Health Centre, Harrow (NHS LIFT)",,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"Monks Park Health Centre, Brent (NHS LIFT)",,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"Gem Centre (Children's Primary Care Centre, Bentley Bridge, Wolverhampton (NHS LIFT)",,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
143,09/11/2006,Babcock & Brown,"Phoenix Centre (Parkfields Primary Care Centre, Wolverhampton (NHS LIFT)",,n/a,Babcock & Brown Public Partnerships (Guernsey),n/a,n/a,n/a,n/a,n/a,Babcock & Brown Public Partnerships Prospectus 2006,"BBPP Annual Report and Financial Statements to 31 Deember 200, 24/04/2007",
144,01/12/2006,Bilfinger Berger,"North Wiltshire Schools, ",3,31/10/2000,Secondary Market Infrastructure Fund,50,n/a,n/a,n/a,n/a,PPPFocus 04/12/2006,,
144,01/12/2006,Bilfinger Berger,Hull Maternity Hospital ,,08/12/2000,Secondary Market Infrastructure Fund,n/a,n/a,n/a,n/a,n/a,Partnerships UK database,,
144,01/12/2006,Bilfinger Berger,"British Embassy, Berlin",,n/a,Secondary Market Infrastructure Fund,n/a,n/a,n/a,n/a,n/a,Bilfinger Berger Press 01/12/2006,,
145,04/12/2006,Serco Group plc,HMP Ashfield Prison ,6,01/11/1999,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,59.0 (Serco retains 41% of JVC),76.5,11.4,7.4,2.4,Serco RNS 04/12/2006,,
145,05/12/2006,Serco Group plc,HMP Dovegate Prison,,24/09/1999,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,see above,see above,see above,see above,see above,Serco RNS 04/12/2006,,
145,06/12/2006,Serco Group plc,HMP Lowdham Grange Prison,,01/11/1996,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,see above,see above,see above,see above,see above,Serco RNS 04/12/2006,,
145,07/12/2006,Serco Group plc,"Hassockfield Secure Training Centre,",,12/11/1998,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,see above,see above,see above,see above,see above,Serco RNS 04/12/2006,,
145,08/12/2006,Serco Group plc,"Joint Services Command and Staff College,",,07/07/2000,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,see above,see above,see above,see above,see above,Serco RNS 04/12/2006,,
145,09/12/2006,Serco Group plc,National Traffic Control Centre,,01/06/2001,Infrastructure Investors(Barclays) forms investment partnership with SERCO.,see above,see above,see above,see above,see above,Serco RNS 04/12/2006,,
146,06/12/2006,Alfred McAlpine plc,"Fife Council Schools 1, Scotland",1,14/09/2001,HICL Infrastructure Company,40,5.5,n/a,5.25,n/a,HICL Infrastructure Press 06/12/2006,,
147,29/12/2006,Macquarie Infrastructure,M1 – A1 Link Road,1,26/03/1996,Balfour Beatty plc,50,44.3,n/a,10.75,n/a,Macquarie SEC 8K 29/12/2006,,
148,01/01/2007,Hochtief PPP Schools Capital Ltd (51% retained by Hochtief),Salford Schools Holdings Solutions Ltd,5,20/11/2006,HSC Investments Ltd (Barclays Integrated Infrastructure Fund) - includes one project in the Republic of Ireland,49.0,9.3,n/a,n/a,n/a,Hochtief AR 2007 p31 ,,
148,01/01/2007,Hochtief PPP Schools Capital Ltd (51% retained by Hochtief),Manchester Wright Robinson Sports College,,22/07/2005,HSC Investments Ltd (Barclays Integrated Infrastructure Fund) - includes one project in the Republic of Ireland,see above,see above,n/a,n/a,n/a,HSC Investments Ltd AR 2007 p15 (Barclays Integrated Infrastructure Fund),,
148,01/01/2007,Hochtief PPP Schools Capital Ltd (51% retained by Hochtief),North Ayrshire Partnership for schools (PPP Services Holdings Ltd),,18/03/2006,HSC Investments Ltd (Barclays Integrated Infrastructure Fund) - includes one project in the Republic of Ireland,see above,see above,n/a,n/a,n/a,HSC Investments Ltd AR 2007 p15 (Barclays Integrated Infrastructure Fund),,
148,01/01/2007,Hochtief PPP Schools Capital Ltd (51% retained by Hochtief),East Ayrshire Schools (First Class Consortium (East Ayrshire) Holdings Ltd,,27/07/2006,HSC Investments Ltd (Barclays Integrated Infrastructure Fund) - includes one project in the Republic of Ireland,see above,see above,n/a,n/a,n/a,HSC Investments Ltd AR 2007 p15 (Barclays Integrated Infrastructure Fund),,
148,01/01/2007,Hochtief PPP Schools Capital Ltd (51% retained by Hochtief),"Bangor & Nendrum Schools Services Holdings Ltd, Northern Ireland",,01/09/2006,HSC Investments Ltd (Barclays Integrated Infrastructure Fund) - includes one project in the Republic of Ireland,see above,see above,n/a,n/a,n/a,HSC Investments Ltd AR 2007 p15 (Barclays Integrated Infrastructure Fund),,
149,20/03/2007,London Financial Group ,"Barnet General Hospital, London ",1,12/02/1999,HICL Infrastructure,10.0 (,3.3,n/a,7.08,n/a,HICL Press 20/03/2007,,
150,20/03/2007,Shepherd Construction,"Health & Safety Laboratory, Buxton",1,12/04/2002,HICL Infrastructure,20,2.5,n/a,4.92,n/a,HICL AR 2007 p39,HICL Press 20/03/2007,
151,01/07/2007,United Medical Enterprises Group,9 health assets - no details,9,n/a,Land Securities Trillium,n/a,56.6,n/a,n/a,n/a,n/a,,
152,01/07/2007,Regenter Ltd and Pinnacle Fund,"Bentilee Joint Service Centre, Stoke on Trent",1,24/02/2005,John Laing (Henderson Global Investors),100,0.9,n/a,n/a,n/a,John Laing plc AR 2005,,
153,01/07/2007,Costain Group plc,"Parc Prison, Bridgend, Wales  ",2,04/01/1996,John Laing (Henderson Global Investors),50,8.4,2.7,7.42,28.4,Costain Group plc AR 2006 p14,,
153,01/07/2007,Costain Group plc,"Sirhowy Enterprise Way, Wales",,21/01/2004,John Laing (Henderson Global Investors),50,see above,3,see above,see above,Costain Group plc AR 2008 p92,,
154,01/07/2007,Taylor Woodrow Construction,"Dalmuir Sewage Treatment Works, West Dumbartonshire, Scotland",1,01/03/1999,Henderson Private Capital,31,n/a,n/a,n/a,n/a,"Global Water No 9 Sept, 2011",,
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),South West London LIFT,6,01/04/2005,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",100,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),"Lambeth, Southwark & Lewisham LIFT",,14/12/2005,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",see above,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),"Ealing, Hammersmith & Hounslow LIFT",,22/03/2005,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",see above,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),"St Helens, Knowsley, Halton & Warrington LIFT",,20/10/2004,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",see above,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),Bristol LIFT,,06/05/2004,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",see above,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
155,01/07/2007,William Pears Group and Capital & Provident Regeneration (Building Better Healthcare LIFT business - all tranche 1a projects),Oxford City LIFT,,n/a,"Fulcrum Infrastructure Group Holdings (Meridiam Infrastructure Finance, Luxembourg)",see above,n/a,n/a,n/a,n/a,Project Finance International 11/07/2007,www.meridiam.com,Partners 4 LIFT companies
156,01/07/2007,Halcrow,"Dalmuir Sewage Treatment Works, West Dumbartonshire, Scotland",1,01/03/1999,Henderson Private Capital,6.2,n/a,n/a,n/a,n/a,"Global Water No 9 Sept, 2011",,
157,01/07/2007,Parkwood Holdings plc,"Defence Animal Centre, Melton Mowbray",1,18/08/2000,n/a,77.8,1.8,n/a,n/a,n/a,Parkwood AR 2007 p59,,
158,01/07/2007,MJ Gleeson Group plc,Sheffield Schools Phase 2 ,2,08/04/2004,n/a,30,4,1.9,3.21,28.2,Gleeson AR 2007 p16,,
158,01/07/2007,MJ Gleeson Group plc,Salisbury District Hospital Redevelopment,,04/03/2004,n/a,40,see above,see above,see above,see above,Gleeson AR 2007 p16,,
159,01/07/2007,ISS Mediclean,"Bishop Auckland Hospital, Co Durham",1,28/05/1999,Secondary Market Infrastructure Fund,20,n/a,4.6,n/a,n/a,ISS Holdings AR 2007 p75,Partnerships UK Database,
160,12/07/2007,Amec plc,A!(M) Peterborough-Alconbury,7,08/02/1996,Land Securities Trillium,25,152.4,n/a,n/a,n/a,Amec AR 2007 p70-71,,
160,12/07/2007,Amec plc,A419/417 Swindon-Gloucester,,08/02/1996,Land Securities Trillium,25,see above,n/a,n/a,n/a,Amec RNS 12/07/2007,,
160,12/07/2007,Amec plc,Docklands Light Railway Woolwich extension,,31/05/2005,Land Securities Trillium,50,see above,n/a,n/a,n/a,Amec RNS 12/11/2007,,
160,12/07/2007,Amec plc,Cumberland Infirmary,,03/11/1997,Land Securities Trillium,50,see above,n/a,n/a,n/a,Land Securities RNS 12/07/2007,,
160,12/07/2007,Amec plc,University College London Hospital,,12/07/2000,Land Securities Trillium,33,see above,n/a,n/a,n/a,Land Securities RNS 12/07/2007,,
160,12/07/2007,Amec plc,South Lanarkshire Schools,,29/06/2006,Land Securities Trillium,n/a,see above,n/a,n/a,n/a,Land Securities RNS 12/07/2007,,
160,12/07/2007,Amec plc,"Meadowhead (Irvine), Ayr,Stevenston and Inverclyde Sewage Treatment Plant",,11/10/2000,Land Securities Trillium,25,see above,n/a,n/a,n/a,Land Securities RNS 12/07/2007,,
161,18/08/2007,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG","Metropolitan Police Specialist Training Centre, Gravesend ",4,20/04/2001,HICL Infrastructure,50,36.5,13.4,1.75 (acquired by Allianz in Dec-05 for 23.1,33.1,HICL AR 2008 p 4 and 9,HICL Press 17/08/2007,
161,19/08/2007,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",Cleveland & Durham Firearms Training Centre,,01/04/2000,HICL Infrastructure,see above,see above,see above,see above,see above,HICL AR 2008 p 4 and 9,HICL Press 17/08/2007,
161,20/08/2007,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",South East London Police Stations ,,01/10/2001,HICL Infrastructure,see above,see above,see above,see above,see above,HICL AR 2008 p 4 and 9,HICL Press 17/08/2007,
161,21/08/2007,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",Greater Manchester Police Authority Police Stations,,04/12/2002,HICL Infrastructure,see above,see above,see above,see above,see above,HICL AR 2008 p 4 and 9,HICL Press 17/08/2007,
162,10/10/2007,Kajima Partnerships,"North Tyneside Grouped Schools, ",6,20/12/2002,HICL Infrastructure joint venture with Kajima,50,30.2,18,4.33,34.1,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
162,10/10/2007,Kajima Partnerships,Ealing Grouped Schools Project 1,,18/12/2002,HICL Infrastructure joint venture with Kajima,see above,see above,see above,see above,see above,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
162,10/10/2007,Kajima Partnerships,Darlington Education Village,,30/03/2004,HICL Infrastructure joint venture with Kajima,see above,see above,see above,see above,see above,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
162,10/10/2007,Kajima Partnerships,"Haverstock School, Camden, London",,22/10/2003,HICL Infrastructure joint venture with Kajima,see above,see above,see above,see above,see above,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
162,10/10/2007,Kajima Partnerships,"Wooldale Centre for Learning, Northants",,28/03/2003,HICL Infrastructure joint venture with Kajima,see above,see above,see above,see above,see above,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
162,10/10/2007,Kajima Partnerships,"Health & Safety Executive HQ, Merseyside",,20/10/2003,HICL Infrastructure joint venture with Kajima,see above,see above,see above,see above,see above,Kajima Partnerships AR 2007 p14. ,"HICL AR 2008 p4 and 10, HICL Press 10/10/2007",Contract Journal 04/08/2007
163,05/11/2007,Alfred McAlpine plc,"A1(M) Alconbury to Peterborough, ",6,08/02/1996,Infrastructure Investors,n/a,52.2,24.9,6.23,14.6,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
163,05/11/2007,Alfred McAlpine plc,A417/419 Swindon to Gloucester,,08/02/1996,Infrastructure Investors,n/a,see above,see above,see above,see above,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
163,05/11/2007,Alfred McAlpine plc,A1 Darrington to Dishforth,,25/02/2003,Infrastructure Investors,n/a,see above,see above,see above,see above,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
163,05/11/2007,Alfred McAlpine plc,East Leake Schools,,18/04/2002,Infrastructure Investors,n/a,see above,see above,see above,see above,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
163,05/11/2007,Alfred McAlpine plc,Addenbrookes Elective Care Centre,,27/10/2004,Infrastructure Investors,n/a,see above,see above,see above,see above,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
163,05/11/2007,Alfred McAlpine plc,Three Shires Mental Health,,05/05/2007,Infrastructure Investors,n/a,see above,see above,see above,see above,McAlpine Press 05/11/2007,Contract Journal 5/11/2007,
164,10/12/2007,BAM PPP,Crawley Schools and 3 other projects,4,16/01/2004,DIF Infrastructure Fund,25,n/a,11,n/a,n/a,BAM PPP Press 10/12/2007,DIF Press 11/12/2007,
165,21/12/2007,Carillion plc,"Great Western Hospital, Swindon ",3,05/10/1999,Land Securities Trillium,33.3,21.5,23.6,8.2,38.7,Carillion plc AR 2007 p99,,
165,21/12/2007,Carillion plc,"North Staffordshire Acute Psychiatric Unit (Harplands Hospital, Stoke-on-Trent)",,08/12/1999,Land Securities Trillium,50,see above,see above,see above,see above,Carillion Press 21/12/2007,,
165,21/12/2007,Carillion plc,"Southern General Hospital Geriatric Medicine & Assessment Facility, NHS Glasgow",,31/07/1999,Land Securities Trillium,n/a,see above,see above,see above,see above,"NAO Equity Investment in PFI, 2012",,
166,21/12/2007,HSBC subsidiary,"Home Office headquarters, London",1,26/03/2002,HICL Infrastructure ,14.1,14.4,n/a,5.25,n/a,HICL AR 2008 p4 and 10,HICL Press 21/12/2007,
167,21/12/2007,Barclays plc and G&J Seddon,Lancaster Care Units ,2,30/09/1998,Equitix Ltd,100,n/a,n/a,n/a,n/a,Equitix News December 2007,,
167,22/12/2007,Barclays plc and G&J Seddon,Surrey Resource Centre and Residential Care Home,,n/a,Equitix Ltd,see above,n/a,n/a,n/a,n/a,Equitix News December 2007,,
168,31/12/2007,Infrastructure Investors,Ministry of Defence Housing in south west (Tricomm Group of companies),1,30/11/2001,Jointly by Bank of America and Invista Real Estate Property Trust ,100,11.6,n/a,n/a,n/a,Invista Castle Ltd AR 31/12/2007,,
169,11/01/2008,Kier Group,"Hairmyres Hospital, NHS Lanarkshire, East Kilbride, Scotland",1,28/02/1998,Innisfree Ltd ,50,13.8,8.0 plus.8.2 refinancing profit in 2004,9.92,13.9,Kier AR 2008 p25 and 82,Kier RNS 11/02/2008,
170,03/03/2008,EDF Energy,LBC Ealing Street Lighting PFI,3,29/07/2005,Scottish & Southern Energy plc,100,7.8,n/a,n/a,n/a,SSE RNS 03/03/2008,PPP Bulletin 10/03/2008,
170,03/03/2008,EDF Energy,LBC Islington Street Lighting PFI,,22/05/2003,Scottish & Southern Energy plc,see above,see above,n/a,n/a,n/a,SSE RNS 03/03/2008,PPP Bulletin 10/03/2008,
170,03/03/2008,EDF Energy,Dorset County Council Street Lighting PFI,,03/10/2006,Scottish & Southern Energy plc,see above,see above,n/a,n/a,n/a,SSE RNS 03/03/2008,PPP Bulletin 10/03/2008,
171,11/04/2008,Bank of America,"Bristol, Bath & Portsmouth Family Quarters, Ministry of Defence",1,30/11/2001,Invista Real Estate Management Holdings plc,50,26,n/a,7.25,n/a,Invista Real Estate RNS 11/04/2008,,
172,20/04/2008,Babcock Brown Partnerships,"Dudley Infracare LIFT Limited, ",7,12/10/2005,Ashley House plc,Controlling interest in 7 companies. Babcock Brown18.4 stake in Ashley,15,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,Healthcare Improvement Partnership (Wolverhampton City & Walsall) Limited,,29/10/2004,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,Oxford Infracare LIFT Limited,,26/11/2004,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,Bristol Infracare LIFT Limited,,06/05/2004,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,"Brent, Harrow & Hillingdon LIFT Company Limited",,22/12/2004,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,"Bexley, Bromley and Greenwich LIFT Company Limited",,26/01/2005,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
172,20/04/2008,Babcock Brown Partnerships,East London & City LIFT Company Limited,,23/05/2003,Ashley House plc,see above,see above,n/a,n/a,n/a,Ashley RNS 12/06/2008. Final Terms 20/04/2009,,
173,21/04/2008,Leisure Connection Ltd and Linteum Ltd,Leisure projects near London,3,n/a,Dutch Infrastructure Fund,100,n/a,n/a,n/a,n/a,DIF Press 21/04/2008,,
174,21/04/2008,Galliford Try plc,"St Andrews Community Hospital, Fife, Scotland",1,22/11/2007,Dutch Infrastructure Fund,50,n/a,n/a,0.42,n/a,DIF Press 21/04/2008,,
175,12/05/2008,Englefield Capital and Electra Partners Europe,"Global Solutions Ltd (GSL) – see 2004. 12 PPP projects – 4 NHS LIFT, North Wiltshire and Tower Hamlets schools, Leicester BSF, Met Office, GCHQ,",12,n/a,G4S plc,100,n/a,n/a,n/a,n/a,G4S AR 2008 p19,GSL Press 12/05/2008,
176,01/07/2008,MJ Gleeson Group plc,"Boldon Village Community Learning Centre, Boldon Schools Ltd, South Tyneside.",1,13/04/2005,Barclay European Infrastructure,50,n/a,1.2,n/a,n/a,Gleeson AR 2008 p13,,
177,01/07/2008,Costain Group plc,Ealing Group Schools 2 (Seafort Holdings Ltd),2,05/07/2005,Equitix Ltd and Infrastructure Investors,45,9.4,2.7,2.79,14.4,Costain Group plc AR 2008 p40 and p92,,
177,01/07/2008,Costain Group plc,Kent Schools Partnership (Kent Education Partnership Ltd),,09/10/2005,Equitix Ltd and Infrastructure Investors,30,see above,see above,see above,see above,Costain Group plc AR 2008 p40 and p92,,
178,29/07/2008,Bouygues Group,West Middlesex Hospital,3,30/01/2001,HICL Infrastructure Company,n/a,8.3,n/a,n/a,n/a,HICL AR 2008 p56,RTTNews 29/07/2008,
178,30/07/2008,Bouygues Group,Central Middlesex Hospital ,,06/11/2003,HICL Infrastructure Company,n/a,see above,n/a,n/a,n/a,HICL AR 2008 p56,RTTNews 29/07/2008,
178,31/07/2008,Bouygues Group,"Home Office Headquarters, London",,26/03/2002,HICL Infrastructure Company,n/a,see above,n/a,n/a,n/a,HICL AR 2008 p56,RTTNews 29/07/2008,
179,01/08/2008,Carillion plc,University Hospital Lewisham,5,08/07/2004,"Innisfree Ltd, Land Securities Trillium, Barclays European Infrastructure Fund and Robertson Capital Projects",n/a,41.9,35.6,4.87,30.1,Carillion plc AR 2008 p103 and AR 2009 p102,,
179,01/08/2008,Carillion plc,"James Cook University Hospital, Middlesbrough",,16/08/1999,"Innisfree Ltd, Land Securities Trillium, Barclays European Infrastructure Fund and Robertson Capital Projects",see above,see above,see above,see above,see above,Carillion plc AR 2008 p103 and AR 2009 p102,,
179,01/08/2008,Carillion plc,Barnsley schools,,04/05/2005,"Innisfree Ltd, Land Securities Trillium, Barclays European Infrastructure Fund and Robertson Capital Projects",see above,see above,see above,see above,see above,Carillion plc AR 2008 p103 and AR 2009 p102,,
179,01/08/2008,Carillion plc,Redcar & Cleveland schools,,20/04/2005,"Innisfree Ltd, Land Securities Trillium, Barclays European Infrastructure Fund and Robertson Capital Projects",see above,see above,see above,see above,see above,Carillion plc AR 2008 p103 and AR 2009 p102,,
179,01/08/2008,Carillion plc,n/a,,n/a,"Innisfree Ltd, Land Securities Trillium, Barclays European Infrastructure Fund and Robertson Capital Projects",see above,see above,see above,see above,see above,Carillion plc AR 2008 p103 and AR 2009 p102,,
180,21/08/2008,Carillion plc,Oxford John Radcliffe Hospital (The Hospital Company (Oxford John Radcliffe) Holdings Limited),1,19/12/2003,HICL Infrastructure Company,50,18,see above,see above,see above,HICL RNS 21/08/2008,,
181,12/11/2008,Amec plc,A13 Thames Gateway ,2,12/04/2000,Preemptive rights by other shareholders - Land Securities Trillium,25,11.1,n/a,n/a,n/a,Amec AR 2007 p70-71,Amec RNS 12/11/2007,Land Securities RNS 12/07/2007
